DATOS HORARIOS 2023_FACULTAD DE MEDICINA ,,,
NOTA,LOS DATOS SON PREVALIDOS,,
,,,
MES,DIA,HORA,PM10(µg/m3)
NOVIEMBRE,8,7,35
NOVIEMBRE,8,8,44
NOVIEMBRE,8,9,77
NOVIEMBRE,8,10,83
NOVIEMBRE,8,11,53
NOVIEMBRE,8,12,61
NOVIEMBRE,8,13,55
NOVIEMBRE,8,14,45
NOVIEMBRE,8,15,106
NOVIEMBRE,8,16,42
NOVIEMBRE,8,17,54
NOVIEMBRE,8,18,48
NOVIEMBRE,8,19,51
NOVIEMBRE,8,20,73
NOVIEMBRE,8,21,138
NOVIEMBRE,8,22,103
NOVIEMBRE,8,23,126
NOVIEMBRE,9,0,77
NOVIEMBRE,9,1,54
NOVIEMBRE,9,2,33
NOVIEMBRE,9,3,37
NOVIEMBRE,9,4,38
NOVIEMBRE,9,5,34
NOVIEMBRE,9,6,31
NOVIEMBRE,9,7,27
NOVIEMBRE,9,8,36
NOVIEMBRE,9,9,62
NOVIEMBRE,9,10,62
NOVIEMBRE,9,11,37
NOVIEMBRE,9,12,30
NOVIEMBRE,9,13,29
NOVIEMBRE,9,14,38
NOVIEMBRE,9,15,50
NOVIEMBRE,9,16,46
NOVIEMBRE,9,17,48
NOVIEMBRE,9,18,45
NOVIEMBRE,9,19,44
NOVIEMBRE,9,20,49
NOVIEMBRE,9,21,63
NOVIEMBRE,9,22,52
NOVIEMBRE,9,23,38
NOVIEMBRE,10,0,36
NOVIEMBRE,10,1,32
NOVIEMBRE,10,2,31
NOVIEMBRE,10,3,25
NOVIEMBRE,10,4,25
NOVIEMBRE,10,5,28
NOVIEMBRE,10,6,30
NOVIEMBRE,10,7,35
NOVIEMBRE,10,8,39
NOVIEMBRE,10,9,49
NOVIEMBRE,10,10,60
NOVIEMBRE,10,11,60
NOVIEMBRE,10,12,48
NOVIEMBRE,10,13,37
NOVIEMBRE,10,14,38
NOVIEMBRE,10,15,38
NOVIEMBRE,10,16,38
