DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
DIC,1,17,0.0254,0.0096,0.380,0.0232,45,12,23.9,3.1,258,28,614.1
DIC,1,18,0.0263,0.0089,0.430,0.0232,75,18,23.2,3,277,27,614.3
DIC,1,19,0.0251,0.0089,0.740,0.0346,67,18,21.9,1.8,290,32,614.7
DIC,1,20,0.0232,0.009,0.780,0.042,82,18,21.1,1.7,286,34,615.1
DIC,1,21,0.0186,0.0089,0.650,0.0413,76,20,20.3,1.8,258,42,615.6
DIC,1,22,0.0098,0.0091,0.620,0.0458,60,18,19,1.3,217,49,615.9
DIC,1,23,0.018,0.009,0.390,0.031,64,20,18.7,1.7,242,57,616.2
DIC,2,0,0.0211,0.0087,0.320,0.0297,41,17,18.3,2.1,256,55,616.4
DIC,2,1,0.0192,0.0088,0.300,0.0289,40,18,17.2,1.1,252,56,616.4
DIC,2,2,0.017,0.0088,0.290,0.0272,26,16,16.2,1.3,305,58,616.4
DIC,2,3,0.016,0.0087,0.280,0.0248,27,10,15.5,0.8,218,61,616.4
DIC,2,4,0.0145,0.0085,0.280,0.024,24,13,14.5,0.4,62,65,616.3
DIC,2,5,0.0127,0.0107,0.280,0.026,23,8,13.9,0.6,138,68,616.3
DIC,2,6,0.0114,0.0103,0.320,0.0248,26,13,13.2,0.5,197,73,616.5
DIC,2,7,0.0091,0.0093,0.370,0.0257,20,9,12.3,0.9,258,77,616.7
DIC,2,8,0.0053,0.009,0.610,0.0323,23,13,12.6,0.8,248,76,617.1
DIC,2,9,0.0093,0.009,0.660,0.0308,34,4,15,1.1,266,69,617.5
DIC,2,10,0.0195,0.0088,0.520,0.0278,50,13,17.5,0.8,211,62,617.7
DIC,2,11,0.0276,0.0089,0.500,0.0294,60,16,18.9,1.3,227,51,617.7
DIC,2,12,0.0331,0.0094,0.370,0.0247,38,19,20.3,1.7,199,43,617.2
DIC,2,13,0.0357,0.0095,0.350,0.0215,34,16,21.7,1.6,210,37,616.7
DIC,2,14,0.0379,0.009,0.320,0.0192,28,16,22.2,1.7,197,35,615.8
DIC,2,15,0.0381,0.0091,0.310,0.019,113,20,22.4,1.1,225,32,615.1
DIC,2,16,0.0366,0.0088,0.320,0.0175,29,NA,23.6,1.4,210,25,614.7
DIC,2,17,0.0353,0.0092,0.350,0.0176,33,16,24.1,1.9,254,22,614.6
DIC,2,18,0.0326,0.0088,0.440,0.0206,34,13,23.3,1.7,232,23,614.7
DIC,2,19,0.0184,0.0134,0.900,0.0444,32,32,21.5,0.8,255,26,615
DIC,2,20,0.0054,0.0094,1.380,0.0584,50,27,20.3,0.8,296,28,615.5
DIC,2,21,0.0087,0.0089,1.110,0.0573,123,34,18.9,0.7,213,30,615.9
DIC,2,22,0.0122,0.009,0.810,0.0497,89,22,17.2,0.7,126,35,616.3
DIC,2,23,0.018,0.009,0.650,0.0423,57,18,15.9,0.4,76,39,616.5
DIC,3,0,0.013,0.012,0.710,0.0455,49,17,15.3,0.6,126,42,616.7
DIC,3,1,0.0211,0.0089,0.450,0.0336,46,29,14.3,0.9,200,45,616.6
DIC,3,2,0.0277,0.0085,0.310,0.0226,39,18,13.8,0.8,217,46,616.4
DIC,3,3,0.0257,0.0084,0.290,0.0207,29,8,13.4,0.9,242,52,616.2
DIC,3,4,0.0218,0.0086,0.290,0.0199,31,15,12.9,0.7,135,62,616
DIC,3,5,0.0191,0.0085,0.290,0.0204,18,10,12.8,0.7,156,68,616
DIC,3,6,0.0172,0.0085,0.310,0.0217,22,13,13.1,0.8,222,69,616.1
DIC,3,7,0.0138,0.0085,0.420,0.0255,22,14,13.3,0.6,192,71,616.3
DIC,3,8,0.0067,0.0086,0.700,0.0364,23,15,13.2,0.4,206,73,616.6
DIC,3,9,0.0038,0.01,1.800,0.0501,49,20,14.4,0.7,245,65,617.1
DIC,3,10,0.006,0.0105,1.370,0.0565,98,43,16.8,0.9,173,55,617.5
DIC,3,11,0.0185,0.0091,0.520,0.0339,108,27,18.7,1.2,188,56,617.4
DIC,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,3,16,0.0072,0.0092,NA,NA,38,NA,24.1,2.8,234,32,614
DIC,3,17,0.0249,0.0096,0.570,0.045,43,NA,23.7,2.9,258,32,614.1
DIC,3,18,0.0215,0.0095,0.650,0.0331,38,NA,23.1,2.7,260,33,614.3
DIC,3,19,0.0129,0.0096,0.920,0.0383,32,NA,22.1,1.8,262,36,614.8
DIC,3,20,0.0122,0.0094,0.850,0.042,41,NA,20.8,2.3,240,43,615.4
DIC,3,21,0.014,0.009,0.740,0.0408,44,NA,19.5,1.8,219,51,616
DIC,3,22,0.0146,0.0091,0.720,0.0393,33,5,18.6,2.1,269,57,616.5
DIC,3,23,0.0171,0.0089,0.650,0.0326,34,21,16.4,2.4,268,74,616.9
DIC,4,0,0.0127,0.0083,0.720,0.0352,33,NA,15.8,0.8,101,82,616.9
DIC,4,1,0.0092,0.0083,0.740,0.0383,16,3,15.5,0.9,253,84,616.6
DIC,4,2,0.0097,0.0082,0.660,0.0339,10,8,15.2,1,216,83,616.3
DIC,4,3,0.0076,0.0083,0.650,0.0323,12,9,14.6,0.5,165,88,616
DIC,4,4,0.0091,0.0082,0.660,0.0312,11,12,14.9,0.5,265,86,616.1
DIC,4,5,0.0067,0.0082,0.700,0.0333,14,10,14.9,0.4,148,87,616.1
DIC,4,6,0.0055,0.0082,0.730,0.0357,20,13,14.8,0.4,112,88,616.2
DIC,4,7,0.0049,0.0086,0.780,0.0356,21,13,14.8,0.6,108,88,616.2
DIC,4,8,0.0029,0.0088,0.990,0.0411,24,16,15.1,0.1,49,88,616.5
DIC,4,9,0.0026,0.0097,1.380,0.0473,44,30,15.8,0.3,173,84,616.9
DIC,4,10,0.0055,0.0097,1.160,0.0518,64,25,16.7,1,185,76,617.4
DIC,4,11,0.0115,0.0087,0.550,0.0425,69,15,17.3,1.2,195,73,617.5
DIC,4,12,0.0181,0.0085,0.440,0.0361,35,9,18.9,1.3,215,66,617.2
DIC,4,13,0.0226,0.0084,0.400,0.0347,32,9,20.6,1.4,214,58,616.6
DIC,4,14,0.0202,0.0085,0.380,0.0315,33,7,22,3.1,212,49,615.7
DIC,4,15,0.019,0.0086,0.420,0.0296,32,5,21.6,3.5,209,50,615.3
DIC,4,16,0.0177,0.0084,0.440,0.0294,27,11,21.3,3,223,52,615.3
DIC,4,17,0.0154,0.0085,0.590,0.0289,29,12,20.7,2.5,231,52,615.3
DIC,4,18,0.0126,0.0085,0.510,0.0301,31,8,20.5,2.2,222,53,615.5
DIC,4,19,0.0074,0.0086,0.670,0.0345,28,8,19.8,1.5,206,57,615.7
