DATOS HORARIOS 2023_T-21 ,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WD
NOVIEMBRE,16,9,NA,0.008,0.024,45,12,13.56,196.9
NOVIEMBRE,16,10,NA,0.008,0.023,42,14,15.18,158.6
NOVIEMBRE,16,11,NA,0.007,0.024,47,13,18.04,193.9
NOVIEMBRE,16,12,NA,0.007,0.013,52,8,19.81,198.8
NOVIEMBRE,16,13,NA,0.008,0.010,31,9,21.41,197.1
NOVIEMBRE,16,14,NA,0.008,0.011,24,6,23.19,232.1
NOVIEMBRE,16,15,NA,0.006,0.010,27,6,24.81,236.1
NOVIEMBRE,16,16,NA,0.006,0.011,16,7,25.88,242.7
NOVIEMBRE,16,17,NA,0.006,0.013,24,5,26.26,257.9
NOVIEMBRE,16,18,NA,0.006,0.015,24,2,26.39,258.8
NOVIEMBRE,16,19,NA,0.007,0.046,23,10,25.69,311.5
NOVIEMBRE,16,20,NA,0.008,0.052,45,11,24.45,251.6
NOVIEMBRE,16,21,NA,0.007,0.046,52,25,22.98,119
NOVIEMBRE,16,22,NA,0.007,0.044,50,22,21.48,74.4
NOVIEMBRE,16,23,NA,0.006,0.036,39,18,20.33,124.8
NOVIEMBRE,17,0,NA,0.005,0.019,26,13,19.67,211.3
NOVIEMBRE,17,1,NA,0.006,0.035,15,14,19.60,216.9
NOVIEMBRE,17,2,NA,0.007,0.035,45,40,16.98,189.1
NOVIEMBRE,17,3,NA,0.008,0.033,42,33,15.19,122.5
NOVIEMBRE,17,4,NA,0.008,0.033,32,21,14.65,50
NOVIEMBRE,17,5,NA,0.007,0.028,33,20,15.04,33.3
NOVIEMBRE,17,6,NA,0.006,0.021,30,10,15.01,51.7
NOVIEMBRE,17,7,NA,0.006,0.030,17,10,14.47,39.5
NOVIEMBRE,17,8,NA,0.011,0.033,32,20,14.22,209.4
NOVIEMBRE,17,9,NA,0.012,0.037,114,38,13.49,205.9
NOVIEMBRE,17,10,NA,0.016,0.024,118,27,15.07,202.1
NOVIEMBRE,17,11,NA,0.022,0.018,67,15,17.77,201.5
NOVIEMBRE,17,12,NA,0.020,0.014,47,10,20.22,196.7
NOVIEMBRE,17,13,NA,0.014,0.012,40,10,22.70,201.1
NOVIEMBRE,17,14,NA,0.009,0.012,32,10,24.76,255
NOVIEMBRE,17,15,NA,0.007,0.011,26,NA,26.67,249
NOVIEMBRE,17,16,NA,0.006,0.012,17,5,27.81,250.8
NOVIEMBRE,17,17,NA,0.006,0.013,20,NA,28.34,257.3
NOVIEMBRE,17,18,NA,0.006,0.020,30,NA,28.31,269.8
NOVIEMBRE,17,19,NA,0.006,0.040,29,8,27.42,313.4
NOVIEMBRE,17,20,NA,0.007,0.051,40,19,25.98,311.1
NOVIEMBRE,17,21,NA,0.006,0.042,36,21,24.39,333.4
NOVIEMBRE,17,22,NA,0.006,0.034,42,16,23.41,303.8
NOVIEMBRE,17,23,NA,0.006,0.043,32,12,22.69,169
NOVIEMBRE,18,0,NA,0.007,0.037,61,32,20.75,213
NOVIEMBRE,18,1,NA,0.009,0.038,65,40,18.21,197.7
NOVIEMBRE,18,2,NA,0.008,0.031,93,54,16.49,192
NOVIEMBRE,18,3,NA,0.009,0.030,49,33,14.63,87
NOVIEMBRE,18,4,NA,0.008,0.033,40,18,14.84,23
NOVIEMBRE,18,5,NA,0.008,0.030,36,19,15.61,139.5
NOVIEMBRE,18,6,NA,0.009,0.027,39,20,14.47,73.4
NOVIEMBRE,18,7,NA,0.008,0.031,29,15,13.51,84.1
NOVIEMBRE,18,8,NA,0.015,0.032,46,31,13.40,176.3
NOVIEMBRE,18,9,NA,0.019,0.045,163,61,12.87,203.6
NOVIEMBRE,18,10,NA,0.014,0.039,155,39,14.83,213.3
NOVIEMBRE,18,11,NA,0.010,0.018,91,17,18.01,213.6
NOVIEMBRE,18,12,NA,0.009,0.016,49,6,20.69,211.7
NOVIEMBRE,18,13,NA,0.007,0.014,44,7,22.94,215.2
NOVIEMBRE,18,14,NA,0.007,0.013,33,8,24.26,212.2
NOVIEMBRE,18,15,NA,0.006,0.017,31,13,25.89,235.4
NOVIEMBRE,18,16,NA,0.006,0.012,35,10,27.60,167.5
NOVIEMBRE,18,17,NA,0.006,0.011,28,11,28.33,166.6
NOVIEMBRE,18,18,NA,0.006,0.024,32,10,28.40,204.8
NOVIEMBRE,18,19,NA,0.008,0.057,52,18,27.25,285
NOVIEMBRE,18,20,NA,0.008,0.042,62,24,25.51,132
NOVIEMBRE,18,21,NA,0.007,0.032,45,19,24.07,189.8
NOVIEMBRE,18,22,NA,0.006,0.030,24,15,22.49,209.1
NOVIEMBRE,18,23,NA,0.011,0.036,36,27,21.16,217.8
NOVIEMBRE,19,0,NA,0.009,0.032,85,38,18.88,200.3
NOVIEMBRE,19,1,NA,0.008,0.032,58,24,18.07,200.7
NOVIEMBRE,19,2,NA,0.008,0.031,54,18,17.47,82.9
NOVIEMBRE,19,3,NA,0.007,0.030,43,12,16.87,29
NOVIEMBRE,19,4,NA,0.009,0.027,28,15,16.18,104.7
NOVIEMBRE,19,5,NA,0.007,0.017,36,6,15.13,38.1
NOVIEMBRE,19,6,NA,0.006,0.016,20,9,14.47,15
NOVIEMBRE,19,7,NA,0.007,0.022,17,8,14.49,101.5
NOVIEMBRE,19,8,NA,0.010,0.026,36,31,13.71,220
NOVIEMBRE,19,9,NA,0.011,0.033,57,31,12.37,207
NOVIEMBRE,19,10,NA,0.020,0.028,73,28,14.49,189
NOVIEMBRE,19,11,NA,0.024,0.015,52,13,18.59,197.9
NOVIEMBRE,19,12,NA,0.019,0.015,37,12,20.42,130.6
NOVIEMBRE,19,13,NA,0.016,0.010,40,13,22.53,165.1
NOVIEMBRE,19,14,NA,0.013,0.010,41,15,24.12,208.1
NOVIEMBRE,19,15,NA,0.009,0.009,34,9,25.97,133.6
NOVIEMBRE,19,16,NA,0.007,0.009,29,10,27.08,179.3
NOVIEMBRE,19,17,NA,0.007,0.007,26,7,28.08,170.4
NOVIEMBRE,19,18,NA,0.007,0.011,25,11,28.55,236.5
NOVIEMBRE,19,19,NA,0.006,0.017,23,12,27.45,257.5
NOVIEMBRE,19,20,NA,0.006,0.018,30,18,25.71,236.5
NOVIEMBRE,19,21,NA,0.006,0.025,32,17,24.01,231
NOVIEMBRE,19,22,NA,0.006,0.031,36,16,22.39,199.5
NOVIEMBRE,19,23,NA,0.006,0.020,38,18,21.49,318.1
NOVIEMBRE,20,0,NA,0.006,0.023,27,15,20.96,286.3
NOVIEMBRE,20,1,NA,0.007,0.022,37,28,19.75,230.5
NOVIEMBRE,20,2,NA,0.006,0.033,38,24,17.48,65
NOVIEMBRE,20,3,NA,0.006,0.020,31,20,17.11,199.8
NOVIEMBRE,20,4,NA,0.007,0.021,41,21,15.78,241.2
NOVIEMBRE,20,5,NA,0.007,0.026,40,30,15.51,111.2
NOVIEMBRE,20,6,NA,0.006,0.019,33,16,15.68,111.8
NOVIEMBRE,20,7,NA,0.006,0.024,20,11,15.17,38
NOVIEMBRE,20,8,NA,0.007,0.034,18,12,14.92,20
NOVIEMBRE,20,9,NA,0.007,0.024,30,12,15.08,29
NOVIEMBRE,20,10,NA,0.006,0.013,35,19,16.60,154.8
NOVIEMBRE,20,11,NA,0.006,0.012,31,22,19.09,222.3
NOVIEMBRE,20,12,NA,0.007,0.010,42,38,20.81,172.2
NOVIEMBRE,20,13,NA,0.007,0.009,45,23,22.06,195.1
NOVIEMBRE,20,14,NA,0.007,0.008,29,10,24.49,204.3
NOVIEMBRE,20,15,NA,0.006,0.008,23,5,26.56,226.8
NOVIEMBRE,20,16,NA,0.005,0.009,26,5,27.77,245.4
NOVIEMBRE,20,17,NA,0.005,0.010,21,2,28.16,266.4
NOVIEMBRE,20,18,NA,0.005,0.012,20,7,28.03,254
NOVIEMBRE,20,19,NA,0.005,0.014,25,14,26.68,255.8
NOVIEMBRE,20,20,NA,0.005,0.014,30,20,24.47,256.9
NOVIEMBRE,20,21,NA,0.006,0.017,27,13,23.14,247.9
NOVIEMBRE,20,22,NA,0.006,0.024,NA,17,21.77,266.2
NOVIEMBRE,20,23,NA,0.006,0.019,36,17,20.72,154.5
NOVIEMBRE,21,0,NA,0.005,0.013,23,16,19.72,189
NOVIEMBRE,21,1,NA,0.006,0.012,14,13,18.98,260.1
NOVIEMBRE,21,2,NA,0.006,0.021,12,15,18.20,179
NOVIEMBRE,21,3,NA,0.008,0.020,18,21,16.51,123.5
NOVIEMBRE,21,4,NA,0.007,0.012,23,23,15.07,37.2
NOVIEMBRE,21,5,NA,0.007,0.015,15,14,15.36,141
NOVIEMBRE,21,6,NA,0.008,0.028,20,24,14.61,202.5
NOVIEMBRE,21,7,NA,0.008,0.027,49,35,13.44,299.7
NOVIEMBRE,21,8,NA,0.009,0.026,49,15,13.92,57.5
NOVIEMBRE,21,9,NA,0.009,0.027,47,11,14.35,204.8
NOVIEMBRE,21,10,NA,0.008,0.025,47,17,15.72,206.1
NOVIEMBRE,21,11,NA,0.008,0.019,36,14,18.90,180.6
NOVIEMBRE,21,12,NA,0.007,0.016,38,9,20.80,167.4
NOVIEMBRE,21,13,NA,0.007,0.011,42,15,21.97,188.6
NOVIEMBRE,21,14,NA,0.007,0.009,27,9,22.89,165.7
NOVIEMBRE,21,15,NA,0.007,0.009,28,7,23.97,147.3
NOVIEMBRE,21,16,NA,0.007,0.012,26,11,24.01,122.6
NOVIEMBRE,21,17,NA,0.007,0.013,36,19,25.23,153.7
NOVIEMBRE,21,18,NA,0.009,0.022,41,27,24.79,147.1
NOVIEMBRE,21,19,NA,0.011,0.036,61,27,23.82,146.1
NOVIEMBRE,21,20,NA,0.008,0.026,73,29,22.47,144.1
NOVIEMBRE,21,21,NA,0.007,0.020,70,21,20.18,117.5
NOVIEMBRE,21,22,NA,0.007,0.018,42,16,18.84,146.2
NOVIEMBRE,21,23,NA,0.006,0.017,33,14,17.38,158.8
NOVIEMBRE,22,0,NA,0.006,0.016,33,14,16.05,171.1
NOVIEMBRE,22,1,NA,0.006,0.009,28,12,15.02,172.7
NOVIEMBRE,22,2,NA,0.006,0.007,18,8,13.85,161.4
NOVIEMBRE,22,3,NA,0.005,0.006,11,10,13.08,160.3
NOVIEMBRE,22,4,NA,0.006,0.007,12,10,12.47,173.6
NOVIEMBRE,22,5,NA,0.006,0.006,15,16,11.96,193.8
NOVIEMBRE,22,6,NA,0.006,0.008,13,14,11.46,135.8
NOVIEMBRE,22,7,NA,0.006,0.014,13,8,11.14,183.9
NOVIEMBRE,22,8,NA,0.006,0.017,23,16,11.10,177.2
NOVIEMBRE,22,9,NA,0.006,0.020,23,11,10.92,173.5
NOVIEMBRE,22,10,NA,0.006,0.016,35,14,11.25,161
NOVIEMBRE,22,11,NA,0.006,0.013,35,10,12.45,160.5
NOVIEMBRE,22,12,NA,0.006,0.015,37,10,13.48,138.5
NOVIEMBRE,22,13,NA,0.007,0.013,39,16,14.57,140.7
NOVIEMBRE,22,14,NA,0.006,0.013,31,14,15.85,141.7
NOVIEMBRE,22,15,NA,0.006,0.012,30,14,17.32,144.1
NOVIEMBRE,22,16,NA,0.006,0.011,26,12,17.68,142.3
NOVIEMBRE,22,17,NA,0.007,0.014,36,14,17.61,141.3
NOVIEMBRE,22,18,NA,0.006,0.016,38,12,16.37,142.6
NOVIEMBRE,22,19,NA,0.007,0.016,35,20,15.23,142.8
NOVIEMBRE,22,20,NA,0.006,0.021,30,14,14.39,144.7
NOVIEMBRE,22,21,NA,0.006,0.020,28,18,13.68,152.4
NOVIEMBRE,22,22,NA,0.006,0.018,25,18,13.16,164.9
NOVIEMBRE,22,23,NA,0.006,0.019,29,17,13.01,170.4
NOVIEMBRE,23,0,NA,0.006,0.017,29,17,12.91,158.3
NOVIEMBRE,23,1,NA,0.007,0.020,21,17,12.90,173.1
NOVIEMBRE,23,2,NA,0.008,0.021,28,16,12.73,176.4
NOVIEMBRE,23,3,NA,0.008,0.022,28,18,12.52,180.7
NOVIEMBRE,23,4,NA,0.008,0.024,30,19,12.50,88
NOVIEMBRE,23,5,NA,0.008,0.020,34,20,12.68,177.7
NOVIEMBRE,23,6,NA,0.007,0.019,24,14,13.14,260.1
NOVIEMBRE,23,7,NA,0.008,0.026,23,16,13.38,175
NOVIEMBRE,23,8,NA,0.011,0.028,53,32,12.96,219.4
NOVIEMBRE,23,9,NA,0.011,0.032,104,31,13.25,169.5
NOVIEMBRE,23,10,NA,0.009,0.015,92,10,14.27,173.5
NOVIEMBRE,23,11,NA,0.008,0.010,44,7,15.81,187.9
NOVIEMBRE,23,12,NA,0.008,0.009,27,4,17.32,199.6
NOVIEMBRE,23,13,NA,0.007,0.011,21,8,18.56,203.6
NOVIEMBRE,23,14,NA,0.006,0.010,32,5,19.23,206.7
NOVIEMBRE,23,15,NA,0.006,0.009,34,7,20.09,194.2
NOVIEMBRE,23,16,NA,0.006,0.009,40,6,21.10,189.4
NOVIEMBRE,23,17,NA,0.006,0.011,26,NA,21.91,185.8
NOVIEMBRE,23,18,NA,0.006,0.011,30,3,21.47,182.7
NOVIEMBRE,23,19,NA,0.006,0.026,35,8,20.61,185.4
NOVIEMBRE,23,20,NA,0.007,0.026,56,14,18.83,199.6
NOVIEMBRE,23,21,NA,0.006,0.021,57,17,17.10,198.1
NOVIEMBRE,23,22,NA,0.006,0.019,53,17,16.11,213.4
NOVIEMBRE,23,23,NA,0.007,0.016,34,19,15.03,201.3
NOVIEMBRE,24,0,NA,0.006,0.011,NA,14,14.17,162.3
NOVIEMBRE,24,1,NA,0.006,0.008,11,11,13.84,210.5
NOVIEMBRE,24,2,NA,0.006,0.008,10,16,13.71,171
NOVIEMBRE,24,3,NA,0.006,0.014,11,13,13.44,66
NOVIEMBRE,24,4,NA,0.006,0.012,15,17,12.69,57.2
NOVIEMBRE,24,5,NA,0.006,0.010,8,14,11.98,66.8
NOVIEMBRE,24,6,NA,0.006,0.012,14,12,11.28,76
NOVIEMBRE,24,7,NA,0.006,0.021,15,13,10.85,29
NOVIEMBRE,24,8,NA,0.007,0.021,28,15,10.54,24
NOVIEMBRE,24,9,NA,0.007,0.021,27,19,10.41,121.3
NOVIEMBRE,24,10,NA,0.007,0.024,NA,17,NA,163.8
NOVIEMBRE,24,11,NA,0.006,0.013,NA,10,NA,214.7
NOVIEMBRE,24,12,NA,NA,0.009,NA,NA,16.28,202.5
NOVIEMBRE,24,13,NA,0.007,0.007,26,18,17.62,163.3
NOVIEMBRE,24,14,NA,0.009,0.010,15,13,19.03,190.8
NOVIEMBRE,24,15,NA,0.010,0.009,22,9,20.70,194.2
NOVIEMBRE,24,16,NA,0.009,0.011,27,8,21.78,171
NOVIEMBRE,24,17,NA,0.009,0.010,21,10,22.87,149.8
NOVIEMBRE,24,18,NA,0.007,0.014,18,6,23.44,166.8
NOVIEMBRE,24,19,NA,0.009,0.051,22,7,22.62,117.8
NOVIEMBRE,24,20,NA,0.014,0.060,68,25,21.09,151.9
NOVIEMBRE,24,21,NA,0.012,0.052,106,35,19.85,70.9
NOVIEMBRE,24,22,NA,0.008,0.048,64,23,18.03,22
NOVIEMBRE,24,23,NA,0.007,0.045,60,23,16.48,76.1
NOVIEMBRE,25,0,NA,0.007,0.036,48,22,15.33,75.3
NOVIEMBRE,25,1,NA,0.006,0.024,32,14,14.41,33.9
NOVIEMBRE,25,2,NA,0.009,0.036,19,24,13.86,201.6
NOVIEMBRE,25,3,NA,0.010,0.032,83,50,11.70,159.8
NOVIEMBRE,25,4,NA,0.006,0.014,73,28,11.14,61.5
NOVIEMBRE,25,5,NA,0.008,0.029,24,9,11.10,91.5
NOVIEMBRE,25,6,NA,0.007,0.016,39,20,10.31,33
NOVIEMBRE,25,7,NA,0.007,0.029,37,15,10.20,153.9
NOVIEMBRE,25,8,NA,0.011,0.038,76,48,9.14,139.8
NOVIEMBRE,25,9,NA,0.008,0.039,77,23,9.26,78.5
NOVIEMBRE,25,10,NA,0.015,0.034,51,10,11.77,146.5
NOVIEMBRE,25,11,NA,0.021,0.029,73,16,15.00,173
NOVIEMBRE,25,12,NA,0.014,0.016,80,18,17.52,162.3
NOVIEMBRE,25,13,NA,0.009,0.013,47,12,19.47,197.1
NOVIEMBRE,25,14,NA,0.007,0.010,31,7,20.76,184.4
NOVIEMBRE,25,15,NA,0.006,0.009,30,9,22.31,202.6
NOVIEMBRE,25,16,NA,0.007,0.010,31,8,23.38,224.1
NOVIEMBRE,25,17,NA,0.006,0.008,24,11,24.29,178.9
NOVIEMBRE,25,18,NA,0.005,0.013,19,8,24.49,180
NOVIEMBRE,25,19,NA,0.006,0.038,19,8,23.62,187.4
NOVIEMBRE,25,20,NA,0.015,0.041,67,26,21.47,213.2
NOVIEMBRE,25,21,NA,0.010,0.039,100,35,19.35,220.2
NOVIEMBRE,25,22,NA,0.008,0.044,60,24,18.92,152.4
NOVIEMBRE,25,23,NA,0.007,0.040,59,26,17.05,166.8
NOVIEMBRE,26,0,NA,0.007,0.035,49,23,15.57,249.8
NOVIEMBRE,26,1,NA,0.006,0.036,45,15,14.78,166.2
NOVIEMBRE,26,2,NA,0.005,0.021,45,15,14.17,102.7
NOVIEMBRE,26,3,NA,0.005,0.018,26,9,13.40,43.9
NOVIEMBRE,26,4,NA,0.005,0.019,33,11,12.86,30
NOVIEMBRE,26,5,NA,0.005,0.012,23,7,12.45,18
NOVIEMBRE,26,6,NA,0.005,0.015,13,7,11.61,70.6
NOVIEMBRE,26,7,NA,0.005,0.021,15,15,10.97,65.9
NOVIEMBRE,26,8,NA,0.006,0.025,16,12,10.72,119.7
NOVIEMBRE,26,9,NA,0.008,0.026,37,37,10.24,208.5
NOVIEMBRE,26,10,NA,0.009,0.022,72,47,10.29,251.4
NOVIEMBRE,26,11,NA,0.007,0.014,62,17,14.48,182.7
NOVIEMBRE,26,12,NA,0.006,0.011,28,6,18.39,170.7
NOVIEMBRE,26,13,NA,0.006,0.005,17,NA,20.40,185
NOVIEMBRE,26,14,NA,0.006,0.005,13,NA,21.39,183.4
NOVIEMBRE,26,15,NA,0.006,0.006,13,NA,22.91,147.4
NOVIEMBRE,26,16,NA,0.006,0.007,18,13,23.80,164.5
NOVIEMBRE,26,17,NA,0.005,0.006,14,7,24.44,195.9
NOVIEMBRE,26,18,NA,0.005,0.014,11,4,24.24,97
NOVIEMBRE,26,19,NA,0.006,0.048,16,12,22.95,55.1
NOVIEMBRE,26,20,NA,0.008,0.052,43,22,21.65,80.6
NOVIEMBRE,26,21,NA,0.009,0.051,76,29,20.35,119.4
NOVIEMBRE,26,22,NA,0.008,0.043,79,33,19.23,20
NOVIEMBRE,26,23,NA,0.006,0.037,52,19,17.87,83.9
NOVIEMBRE,27,0,NA,0.006,0.036,33,19,16.91,174.7
NOVIEMBRE,27,1,NA,0.006,0.037,47,19,16.09,176.6
NOVIEMBRE,27,2,NA,0.006,0.031,30,16,15.74,198.7
NOVIEMBRE,27,3,NA,0.008,0.034,35,29,15.17,215.2
NOVIEMBRE,27,4,NA,0.008,0.030,55,32,13.69,205.1
NOVIEMBRE,27,5,NA,0.006,0.015,48,27,12.53,199.5
NOVIEMBRE,27,6,NA,0.006,0.018,38,22,12.22,204.1
NOVIEMBRE,27,7,NA,0.007,0.027,34,21,12.11,201
NOVIEMBRE,27,8,NA,0.012,0.030,50,24,11.75,190.6
NOVIEMBRE,27,9,NA,0.015,0.033,80,34,11.61,198
NOVIEMBRE,27,10,NA,0.015,0.030,124,28,12.31,197
NOVIEMBRE,27,11,NA,0.011,0.025,96,30,14.69,188.8
NOVIEMBRE,27,12,NA,0.008,0.017,79,21,16.94,193.8
NOVIEMBRE,27,13,NA,0.007,0.009,51,17,18.61,166.1
NOVIEMBRE,27,14,NA,0.007,0.010,28,13,20.21,156.5
NOVIEMBRE,27,15,NA,0.007,0.013,30,10,21.02,130.6
NOVIEMBRE,27,16,NA,0.007,0.013,32,11,21.10,173.1
NOVIEMBRE,27,17,NA,0.008,0.022,32,NA,21.10,197.4
NOVIEMBRE,27,18,NA,0.012,0.035,55,22,21.01,225.2
NOVIEMBRE,27,19,NA,0.013,0.032,88,36,20.74,217.1
NOVIEMBRE,27,20,NA,0.009,0.030,73,23,20.08,233.7
NOVIEMBRE,27,21,NA,0.008,0.038,44,18,19.56,229.6
NOVIEMBRE,27,22,NA,0.008,0.039,85,27,18.97,144.6
NOVIEMBRE,27,23,NA,0.008,0.037,70,27,18.46,206.9
NOVIEMBRE,28,0,NA,0.008,0.035,51,29,18.05,198.4
NOVIEMBRE,28,1,NA,0.007,0.025,75,33,16.94,223.4
NOVIEMBRE,28,2,NA,0.008,0.023,51,25,16.18,188.8
NOVIEMBRE,28,3,NA,0.008,0.014,46,15,15.75,157.4
NOVIEMBRE,28,4,NA,0.007,0.014,43,19,15.35,42.9
NOVIEMBRE,28,5,NA,0.008,0.021,38,15,15.65,170.9
NOVIEMBRE,28,6,NA,0.010,0.023,44,20,14.82,211.9
NOVIEMBRE,28,7,NA,0.009,0.022,35,17,13.47,126.9
NOVIEMBRE,28,8,NA,0.008,0.024,31,16,13.04,196.2
NOVIEMBRE,28,9,NA,0.008,0.024,42,19,13.26,154.6
NOVIEMBRE,28,10,NA,0.008,0.020,52,18,14.80,149.9
NOVIEMBRE,28,11,0.015,0.008,0.012,62,14,16.67,141
NOVIEMBRE,28,12,0.020,0.007,0.010,43,10,18.66,130.1
NOVIEMBRE,28,13,0.025,0.007,0.011,34,12,20.13,135.3
NOVIEMBRE,28,14,0.028,0.007,0.012,31,10,21.52,174.8
NOVIEMBRE,28,15,0.029,0.007,0.013,30,9,23.11,212.2
NOVIEMBRE,28,16,0.027,0.007,0.012,34,10,23.91,216
NOVIEMBRE,28,17,0.024,0.007,0.012,26,NA,24.18,186.1
NOVIEMBRE,28,18,0.018,0.008,0.022,21,7,24.02,196.5
NOVIEMBRE,28,19,0.005,0.010,0.045,46,14,22.94,215.5
NOVIEMBRE,28,20,0.003,0.015,0.047,121,33,22.01,104.9
NOVIEMBRE,28,21,0.006,0.009,0.029,89,28,21.28,275.8
NOVIEMBRE,28,22,0.009,0.007,0.023,47,21,19.98,273.3
NOVIEMBRE,28,23,0.010,0.007,0.018,28,17,18.92,288.2
NOVIEMBRE,29,0,0.008,0.007,0.019,24,14,18.01,259.8
NOVIEMBRE,29,1,0.012,0.006,0.014,35,14,16.93,245.1
NOVIEMBRE,29,2,0.006,0.007,0.020,25,17,16.01,207.6
NOVIEMBRE,29,3,0.005,0.007,0.022,17,16,14.49,207.7
NOVIEMBRE,29,4,0.006,0.006,0.017,27,15,14.04,195
NOVIEMBRE,29,5,0.006,0.006,0.017,17,14,13.38,219.2
NOVIEMBRE,29,6,0.004,0.006,0.019,18,13,12.77,215.5
NOVIEMBRE,29,7,0.004,0.007,0.020,20,8,12.35,247.1
NOVIEMBRE,29,8,0.003,0.008,0.022,25,15,12.30,266.5
NOVIEMBRE,29,9,0.006,0.008,0.020,44,9,13.18,205.5
NOVIEMBRE,29,10,0.006,0.008,0.022,32,14,15.15,202.6
NOVIEMBRE,29,11,0.011,0.008,0.014,63,17,16.28,180.1
NOVIEMBRE,29,12,0.017,0.008,0.011,38,10,18.07,145.2
NOVIEMBRE,29,13,0.022,0.008,0.009,30,13,19.80,152.8
NOVIEMBRE,29,14,0.023,0.008,0.010,29,10,20.79,175.5
NOVIEMBRE,29,15,0.024,0.008,0.010,28,10,21.78,204.9
NOVIEMBRE,29,16,0.023,0.009,0.013,30,10,22.96,210.3
NOVIEMBRE,29,17,0.022,0.009,0.016,41,13,22.39,208.3
NOVIEMBRE,29,18,0.020,0.008,0.015,40,13,21.95,188.8
NOVIEMBRE,29,19,0.016,0.008,0.018,57,18,20.67,157.7
NOVIEMBRE,29,20,0.012,0.008,0.029,39,28,17.33,78.7
NOVIEMBRE,29,21,0.010,0.008,0.029,31,29,17.08,61
NOVIEMBRE,29,22,0.012,0.007,0.025,35,19,17.54,130
NOVIEMBRE,29,23,0.009,0.007,0.026,37,21,17.51,158.1
NOVIEMBRE,30,0,0.012,0.007,0.013,29,18,16.44,154.2
NOVIEMBRE,30,1,0.012,0.006,0.011,19,19,14.98,174.3
NOVIEMBRE,30,2,0.010,0.006,0.010,15,20,14.71,157.8
NOVIEMBRE,30,3,0.014,0.006,0.006,14,15,14.26,45.4
NOVIEMBRE,30,4,0.012,0.006,0.011,10,7,14.20,153.6
NOVIEMBRE,30,5,0.010,0.006,0.014,10,12,14.11,180.6
NOVIEMBRE,30,6,0.007,0.006,0.018,12,12,13.56,187.4
NOVIEMBRE,30,7,0.005,0.006,0.024,13,12,13.41,141.9
NOVIEMBRE,30,8,0.003,0.007,0.030,12,13,13.49,170.1
NOVIEMBRE,30,9,0.004,0.008,0.031,12,15,13.94,170.1
NOVIEMBRE,30,10,0.010,0.007,0.020,16,12,14.79,170.9
NOVIEMBRE,30,11,0.014,0.007,0.014,18,11,16.22,196
NOVIEMBRE,30,12,0.017,0.006,0.010,29,8,17.81,195.7
NOVIEMBRE,30,13,0.019,0.007,0.008,26,10,19.58,198.2
NOVIEMBRE,30,14,0.019,0.007,0.009,25,8,21.21,241.5
NOVIEMBRE,30,15,0.017,0.006,0.009,26,5,22.55,256.5
NOVIEMBRE,30,16,0.018,0.006,0.011,13,8,22.44,257.2
NOVIEMBRE,30,17,0.017,0.006,0.015,20,NA,22.40,193.2
NOVIEMBRE,30,18,0.015,0.006,0.016,28,7,21.61,185.4
NOVIEMBRE,30,19,0.010,0.006,0.023,32,16,20.45,192.7
NOVIEMBRE,30,20,0.008,0.007,0.022,36,20,19.42,203
NOVIEMBRE,30,21,0.006,0.007,0.024,37,20,18.07,197.7
NOVIEMBRE,30,22,0.007,0.007,0.023,33,18,17.11,238.9
NOVIEMBRE,30,23,0.008,0.006,0.018,28,15,17.00,190.4
