DATOS HORARIOS 2023_T-21 ,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WD
NOVIEMBRE,3,6,NA,0.009,0.027,18,23,13.26,172.3
NOVIEMBRE,3,7,NA,0.008,0.032,33,26,12.57,67.4
NOVIEMBRE,3,8,NA,0.011,0.036,46,35,12.68,181.9
NOVIEMBRE,3,9,NA,0.013,0.038,154,46,12.96,188.7
NOVIEMBRE,3,10,NA,0.010,0.031,126,21,14.50,197.1
NOVIEMBRE,3,11,NA,0.011,0.029,85,23,17.00,199.3
NOVIEMBRE,3,12,NA,0.010,0.013,71,17,19.51,164.4
NOVIEMBRE,3,13,NA,0.009,0.013,49,5,21.90,214.7
NOVIEMBRE,3,14,NA,0.008,0.011,49,9,24.23,147.3
NOVIEMBRE,3,15,NA,0.007,0.012,36,10,26.26,172.2
NOVIEMBRE,3,16,NA,0.007,0.011,28,11,27.47,75.3
NOVIEMBRE,3,17,NA,0.007,0.015,29,NA,26.81,97.3
NOVIEMBRE,3,18,NA,0.007,0.023,27,NA,25.91,99.9
NOVIEMBRE,3,19,NA,0.007,0.027,29,11,25.18,54.6
NOVIEMBRE,3,20,NA,0.007,0.025,33,9,23.95,38.9
NOVIEMBRE,3,21,NA,0.006,0.020,38,14,22.58,34.2
NOVIEMBRE,3,22,NA,0.007,0.030,39,8,21.78,181.2
NOVIEMBRE,3,23,NA,0.007,0.039,28,13,20.91,240.2
NOVIEMBRE,4,0,NA,0.009,0.028,52,25,19.65,219.1
NOVIEMBRE,4,1,NA,0.007,0.017,39,21,17.38,220.5
NOVIEMBRE,4,2,NA,0.006,0.016,26,16,16.22,206.4
NOVIEMBRE,4,3,NA,0.006,0.019,21,16,15.22,214.8
NOVIEMBRE,4,4,NA,0.006,0.019,14,19,14.48,201.2
NOVIEMBRE,4,5,NA,0.006,0.017,21,13,13.70,241.3
NOVIEMBRE,4,6,NA,0.008,0.024,14,16,13.42,202
NOVIEMBRE,4,7,NA,0.009,0.029,17,19,12.61,185.2
NOVIEMBRE,4,8,NA,0.008,0.028,29,20,12.24,160.3
NOVIEMBRE,4,9,NA,0.009,0.024,47,17,12.38,206.1
NOVIEMBRE,4,10,NA,0.009,0.018,58,18,13.72,201.2
NOVIEMBRE,4,11,NA,0.008,0.011,55,16,16.71,203.1
NOVIEMBRE,4,12,NA,0.006,0.011,41,12,20.01,151.8
NOVIEMBRE,4,13,NA,0.006,0.011,29,7,22.68,171.2
NOVIEMBRE,4,14,NA,0.006,0.010,25,7,24.23,105.4
NOVIEMBRE,4,15,NA,0.005,0.008,26,5,25.63,59.4
NOVIEMBRE,4,16,NA,0.005,0.008,27,5,25.98,42.8
NOVIEMBRE,4,17,NA,0.005,0.009,20,NA,26.09,29
NOVIEMBRE,4,18,NA,0.005,0.014,15,NA,25.66,32.9
NOVIEMBRE,4,19,NA,0.005,0.027,19,5,24.72,45.1
NOVIEMBRE,4,20,NA,0.005,0.024,30,12,23.45,60.4
NOVIEMBRE,4,21,NA,0.005,0.013,27,13,22.07,51.6
NOVIEMBRE,4,22,NA,0.005,0.011,24,9,20.93,55.7
NOVIEMBRE,4,23,NA,0.005,0.025,26,12,20.18,129.3
NOVIEMBRE,5,0,NA,0.006,0.042,21,16,19.31,233.8
NOVIEMBRE,5,1,NA,0.006,0.030,53,28,17.53,215.2
NOVIEMBRE,5,2,NA,0.008,0.030,46,27,15.89,199.3
NOVIEMBRE,5,3,NA,0.008,0.032,39,30,14.30,194.4
NOVIEMBRE,5,4,NA,0.009,0.029,32,24,13.66,165.6
NOVIEMBRE,5,5,NA,0.009,0.031,28,18,13.16,174.5
NOVIEMBRE,5,6,NA,0.010,0.028,25,21,12.48,212.3
NOVIEMBRE,5,7,NA,0.008,0.031,19,12,11.78,180.2
NOVIEMBRE,5,8,NA,NA,NA,NA,NA,NA,NA
NOVIEMBRE,5,9,NA,0.008,0.024,NA,NA,11.95,188.9
NOVIEMBRE,5,10,NA,0.010,0.016,47,31,14.04,186.9
NOVIEMBRE,5,11,NA,0.010,0.009,43,27,16.42,216.3
NOVIEMBRE,5,12,NA,0.010,0.008,27,14,19.24,209.8
NOVIEMBRE,5,13,NA,0.008,0.007,21,NA,21.98,132.4
NOVIEMBRE,5,14,NA,0.008,0.009,22,4,23.97,195.9
NOVIEMBRE,5,15,NA,0.008,0.008,20,4,25.70,176.7
NOVIEMBRE,5,16,NA,0.008,0.009,18,11,26.43,209.3
NOVIEMBRE,5,17,NA,0.008,0.006,21,11,26.94,162.2
NOVIEMBRE,5,18,NA,0.008,0.011,13,12,26.82,185.9
NOVIEMBRE,5,19,NA,0.009,0.034,22,16,25.92,144.7
NOVIEMBRE,5,20,NA,0.008,0.037,41,16,23.88,56
NOVIEMBRE,5,21,NA,0.008,0.025,33,15,22.37,103.7
NOVIEMBRE,5,22,NA,0.008,0.028,31,11,21.05,315.4
