DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CICEG 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],CO Promedio
NOVIEMBRE,3,11,0.038,NA,NA,NA,3,0.010,NA
NOVIEMBRE,3,12,0.044,NA,NA,68,2,0.007,NA
NOVIEMBRE,3,13,0.053,NA,NA,55,2,0.006,NA
NOVIEMBRE,3,14,0.054,NA,NA,44,2,0.006,NA
NOVIEMBRE,3,15,0.042,0.043,NA,41,3,0.005,NA
NOVIEMBRE,3,16,0.032,0.041,NA,33,11,0.008,NA
NOVIEMBRE,3,17,0.037,0.041,NA,32,9,0.004,NA
NOVIEMBRE,3,18,0.032,0.041,NA,35,11,0.005,NA
NOVIEMBRE,3,19,0.030,0.040,NA,41,13,0.004,NA
NOVIEMBRE,3,20,0.032,0.039,NA,48,14,0.003,NA
NOVIEMBRE,3,21,0.033,0.036,NA,59,14,0.002,NA
NOVIEMBRE,3,22,0.032,0.034,NA,56,9,0.001,NA
NOVIEMBRE,3,23,0.023,0.031,NA,41,9,0.004,NA
NOVIEMBRE,4,0,0.017,0.030,NA,32,6,0.006,NA
NOVIEMBRE,4,1,0.008,0.026,NA,31,9,0.008,NA
NOVIEMBRE,4,2,0.005,0.023,NA,32,12,0.010,NA
NOVIEMBRE,4,3,0.004,0.019,0.005,34,13,0.008,NA
NOVIEMBRE,4,4,0.004,0.016,0.005,36,12,0.008,NA
NOVIEMBRE,4,5,0.005,0.013,0.005,34,14,0.008,NA
NOVIEMBRE,4,6,0.004,0.009,0.005,32,14,0.008,NA
NOVIEMBRE,4,7,0.006,0.007,0.006,34,15,0.009,NA
NOVIEMBRE,4,8,0.011,0.006,0.006,39,11,0.008,NA
NOVIEMBRE,4,9,0.016,0.007,0.006,44,12,0.009,NA
NOVIEMBRE,4,10,0.026,0.010,0.006,60,13,0.006,NA
NOVIEMBRE,4,11,0.034,0.013,0.006,57,8,0.005,NA
NOVIEMBRE,4,12,0.038,0.017,0.006,46,6,0.006,NA
NOVIEMBRE,4,13,0.040,0.022,0.006,43,5,0.002,NA
NOVIEMBRE,4,14,0.038,0.026,0.007,39,4,0.001,NA
NOVIEMBRE,4,15,0.041,0.031,0.007,30,4,0.001,NA
NOVIEMBRE,4,16,0.041,0.034,0.007,29,5,0.001,NA
NOVIEMBRE,4,17,0.040,0.037,0.007,21,8,0.002,NA
NOVIEMBRE,4,18,0.032,0.038,0.007,22,12,0.003,NA
NOVIEMBRE,4,19,0.027,0.037,0.007,23,14,0.005,NA
NOVIEMBRE,4,20,0.028,0.036,0.008,28,14,0.004,NA
NOVIEMBRE,4,21,0.037,0.035,0.008,37,14,0.002,NA
NOVIEMBRE,4,22,0.023,0.033,0.008,33,13,0.007,NA
NOVIEMBRE,4,23,0.040,0.033,0.008,27,8,0.001,NA
NOVIEMBRE,5,0,0.025,0.031,0.008,18,9,0.006,NA
NOVIEMBRE,5,1,0.018,0.029,0.008,28,10,0.006,NA
NOVIEMBRE,5,2,0.016,0.027,0.008,33,12,0.006,NA
NOVIEMBRE,5,3,0.006,0.024,0.008,32,10,0.009,NA
NOVIEMBRE,5,4,0.007,0.022,0.008,33,12,0.008,NA
NOVIEMBRE,5,5,0.005,0.017,0.008,30,12,0.008,NA
NOVIEMBRE,5,6,0.005,0.015,0.008,29,14,0.008,NA
NOVIEMBRE,5,7,0.005,0.011,0.008,35,14,0.009,NA
NOVIEMBRE,5,8,0.013,0.009,0.008,40,10,0.009,NA
NOVIEMBRE,5,9,0.028,0.011,0.008,38,11,0.005,NA
NOVIEMBRE,5,10,0.035,0.013,0.008,37,10,0.006,NA
NOVIEMBRE,5,11,0.044,0.018,0.008,30,6,0.005,NA
NOVIEMBRE,5,12,0.051,0.023,0.008,32,4,0.004,NA
NOVIEMBRE,5,13,0.048,0.029,0.008,30,3,0.004,NA
NOVIEMBRE,5,14,0.051,0.034,0.008,27,3,0.004,NA
NOVIEMBRE,5,15,0.048,0.040,0.008,27,5,0.004,NA
NOVIEMBRE,5,16,0.050,0.044,0.008,26,6,0.005,NA
NOVIEMBRE,5,17,0.054,0.048,0.008,26,11,0.004,NA
NOVIEMBRE,5,18,0.031,0.047,0.008,28,16,0.010,NA
NOVIEMBRE,5,19,0.030,0.045,0.008,35,20,0.006,NA
NOVIEMBRE,5,20,0.035,0.043,0.008,35,17,0.003,NA
NOVIEMBRE,5,21,0.028,0.041,0.008,32,13,0.005,NA
NOVIEMBRE,5,22,0.010,0.036,0.008,26,12,0.011,NA
NOVIEMBRE,5,23,0.010,0.031,0.008,36,16,0.009,NA
NOVIEMBRE,6,0,0.015,0.027,0.008,48,18,0.007,NA
NOVIEMBRE,6,1,0.008,0.021,0.008,45,16,0.009,NA
NOVIEMBRE,6,2,0.011,0.019,0.008,42,14,0.008,NA
NOVIEMBRE,6,3,0.005,0.015,0.008,38,13,0.009,NA
NOVIEMBRE,6,4,0.004,0.012,0.008,37,12,0.009,NA
