DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,10,2,NA,NA,0.007,38
NOVIEMBRE,10,3,NA,NA,0.007,30
NOVIEMBRE,10,4,NA,NA,0.007,32
NOVIEMBRE,10,5,NA,NA,0.007,32
NOVIEMBRE,10,6,NA,NA,0.007,33
NOVIEMBRE,10,7,NA,NA,0.007,35
NOVIEMBRE,10,8,NA,NA,0.007,44
NOVIEMBRE,10,9,NA,NA,0.007,63
NOVIEMBRE,10,10,NA,NA,0.007,70
NOVIEMBRE,10,11,NA,NA,0.007,60
NOVIEMBRE,10,12,NA,NA,0.007,49
NOVIEMBRE,10,13,NA,NA,0.007,43
NOVIEMBRE,10,14,NA,NA,0.007,40
NOVIEMBRE,10,15,NA,NA,0.007,38
NOVIEMBRE,10,16,NA,NA,0.007,35
NOVIEMBRE,10,17,NA,NA,0.007,35
NOVIEMBRE,10,18,NA,NA,0.007,72
NOVIEMBRE,10,19,NA,NA,0.007,49
NOVIEMBRE,10,20,NA,NA,0.007,31
NOVIEMBRE,10,21,NA,NA,0.007,24
NOVIEMBRE,10,22,NA,NA,0.007,18
NOVIEMBRE,10,23,NA,NA,0.007,16
NOVIEMBRE,11,0,NA,NA,0.007,19
NOVIEMBRE,11,1,NA,NA,0.007,21
NOVIEMBRE,11,2,NA,NA,0.007,20
NOVIEMBRE,11,3,NA,NA,0.007,18
NOVIEMBRE,11,4,NA,NA,0.007,19
NOVIEMBRE,11,5,NA,NA,0.007,20
NOVIEMBRE,11,6,NA,NA,0.007,20
NOVIEMBRE,11,7,NA,NA,0.007,24
NOVIEMBRE,11,8,NA,NA,0.007,27
NOVIEMBRE,11,9,NA,NA,0.007,32
NOVIEMBRE,11,10,NA,NA,0.006,39
NOVIEMBRE,11,11,NA,NA,0.006,42
NOVIEMBRE,11,12,NA,NA,0.006,45
NOVIEMBRE,11,13,NA,NA,0.006,44
NOVIEMBRE,11,14,NA,NA,0.006,36
NOVIEMBRE,11,15,NA,NA,0.006,31
NOVIEMBRE,11,16,NA,NA,0.006,28
NOVIEMBRE,11,17,NA,NA,0.006,23
NOVIEMBRE,11,18,NA,NA,0.006,22
NOVIEMBRE,11,19,NA,NA,0.006,21
NOVIEMBRE,11,20,NA,NA,0.006,23
NOVIEMBRE,11,21,NA,NA,0.006,23
NOVIEMBRE,11,22,NA,NA,0.006,26
NOVIEMBRE,11,23,NA,NA,0.006,27
NOVIEMBRE,12,0,NA,NA,0.005,20
NOVIEMBRE,12,1,NA,NA,0.005,16
NOVIEMBRE,12,2,NA,NA,0.005,14
NOVIEMBRE,12,3,NA,NA,0.005,11
NOVIEMBRE,12,4,NA,NA,0.005,8
NOVIEMBRE,12,5,NA,NA,0.005,7
NOVIEMBRE,12,6,NA,NA,0.005,8
NOVIEMBRE,12,7,NA,NA,0.005,7
NOVIEMBRE,12,8,NA,NA,0.005,5
NOVIEMBRE,12,9,NA,NA,0.005,6
NOVIEMBRE,12,10,NA,NA,0.005,8
NOVIEMBRE,12,11,NA,NA,0.005,9
NOVIEMBRE,12,12,NA,NA,0.005,10
NOVIEMBRE,12,13,NA,NA,0.005,11
NOVIEMBRE,12,14,NA,NA,0.005,14
NOVIEMBRE,12,15,NA,NA,0.005,27
NOVIEMBRE,12,16,NA,NA,0.005,27
NOVIEMBRE,12,17,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,18,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,19,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,20,NA,NA,0.006,20
NOVIEMBRE,12,21,NA,NA,0.006,28
NOVIEMBRE,12,22,NA,NA,0.006,30
NOVIEMBRE,12,23,NA,NA,0.006,25
NOVIEMBRE,13,0,NA,NA,0.006,19
NOVIEMBRE,13,1,NA,NA,0.006,19
NOVIEMBRE,13,2,NA,NA,0.007,14
NOVIEMBRE,13,3,NA,NA,0.007,11
NOVIEMBRE,13,4,NA,NA,0.007,10
NOVIEMBRE,13,5,NA,NA,0.007,9
NOVIEMBRE,13,6,NA,NA,0.007,9
NOVIEMBRE,13,7,NA,NA,0.007,10
NOVIEMBRE,13,8,NA,NA,0.007,14
NOVIEMBRE,13,9,NA,NA,0.007,21
NOVIEMBRE,13,10,NA,NA,0.007,20
NOVIEMBRE,13,11,NA,NA,0.008,20
NOVIEMBRE,13,12,NA,NA,0.008,24
NOVIEMBRE,13,13,NA,NA,0.008,26
NOVIEMBRE,13,14,NA,NA,0.008,27
NOVIEMBRE,13,15,NA,NA,0.008,32
NOVIEMBRE,13,16,NA,NA,0.008,31
NOVIEMBRE,13,17,NA,NA,0.008,31
