DATOS HORARIOS 2023_CICEG ,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,03(ppm),SO2(ppm),NO2(ppm),CO(ppm),PM10(µg/m3),PM2.5(µg/m3),TEMP,WS,WD,UV,RADSOL
NOVIEMBRE,5,9,0.028,0.009,0.005,0.86,36,13,18.65,1.45,229.00,5.24,NA
NOVIEMBRE,5,10,0.035,0.009,0.006,0.78,36,8,21.94,1.48,234.80,7.95,NA
NOVIEMBRE,5,11,0.044,0.008,0.005,0.72,24,3,24.55,2.04,200.66,9.59,NA
NOVIEMBRE,5,12,0.051,0.008,0.004,0.68,34,2,26.79,1.81,191.83,10.15,NA
NOVIEMBRE,5,13,0.048,0.008,0.004,0.64,27,2,28.03,2.35,178.47,9.68,NA
NOVIEMBRE,5,14,0.051,0.008,0.004,0.67,25,3,28.88,2.47,197.64,7.83,NA
NOVIEMBRE,5,15,0.048,0.008,0.004,0.62,27,6,28.81,2.76,215.87,5.34,NA
NOVIEMBRE,5,16,0.050,0.008,0.005,0.68,26,8,28.58,1.95,171.86,2.82,NA
NOVIEMBRE,5,17,0.054,0.008,0.004,0.63,26,15,27.26,2.07,128.19,0.82,NA
NOVIEMBRE,5,18,0.031,0.008,0.010,0.71,30,21,24.73,2.23,103.42,0.08,NA
NOVIEMBRE,5,19,0.030,0.007,0.006,0.64,41,24,22.35,2.54,89.76,0.06,NA
NOVIEMBRE,5,20,0.035,0.007,0.003,0.52,36,14,20.96,2.21,74.47,0.06,NA
NOVIEMBRE,5,21,0.028,0.007,0.005,0.42,27,10,19.78,1.44,184.29,0.06,NA
NOVIEMBRE,5,22,0.010,0.008,0.011,0.53,21,10,18.99,1.45,242.08,0.06,NA
NOVIEMBRE,5,23,0.010,0.008,0.009,0.82,46,21,16.52,2.46,210.66,0.06,NA
NOVIEMBRE,6,0,0.015,0.008,0.007,0.79,60,19,14.03,1.02,214.26,0.06,NA
NOVIEMBRE,6,1,0.008,0.008,0.009,0.59,43,14,13.00,0.22,190.79,0.06,NA
NOVIEMBRE,6,2,0.011,0.009,0.008,0.37,38,12,12.34,0.26,283.79,0.06,NA
NOVIEMBRE,6,3,0.005,0.008,0.009,0.83,33,12,12.35,0.11,156.42,0.06,NA
NOVIEMBRE,6,4,0.004,0.009,0.009,0.9,37,11,11.83,0.24,123.66,0.06,NA
NOVIEMBRE,6,5,0.004,0.009,0.010,0.93,52,17,11.13,0.75,187.35,0.06,NA
NOVIEMBRE,6,6,0.002,0.010,0.009,NA,38,24,10.72,0.64,57.61,0.07,NA
NOVIEMBRE,6,7,0.003,0.010,0.010,1.28,71,15,11.97,0.43,111.07,0.65,NA
NOVIEMBRE,6,8,0.009,0.011,0.011,1.74,72,13,16.15,1.07,215.06,2.50,NA
NOVIEMBRE,6,9,0.017,0.011,0.011,1.52,70,13,19.06,1.20,223.38,5.02,NA
NOVIEMBRE,6,10,0.028,0.010,0.009,1.78,75,18,22.11,1.49,224.76,7.58,NA
NOVIEMBRE,6,11,0.039,0.010,0.009,1.57,72,7,24.99,1.60,229.29,9.36,NA
NOVIEMBRE,6,12,0.046,0.010,0.009,1.45,61,2,26.78,1.99,214.62,10.10,NA
NOVIEMBRE,6,13,0.054,0.010,0.006,1.28,49,2,28.71,1.94,221.71,9.42,NA
NOVIEMBRE,6,14,0.064,0.009,0.006,NA,46,6,29.69,2.09,213.89,7.62,NA
NOVIEMBRE,6,15,0.053,0.010,0.006,0.98,43,6,30.09,2.59,232.04,5.30,NA
NOVIEMBRE,6,16,0.051,0.011,0.005,0.6,40,12,29.23,3.26,228.02,2.81,NA
NOVIEMBRE,6,17,0.041,0.010,0.009,0.95,46,12,28.51,2.54,225.35,0.82,NA
NOVIEMBRE,6,18,0.015,0.010,0.018,1.49,43,26,26.55,1.45,233.87,0.08,NA
NOVIEMBRE,6,19,0.008,0.011,0.018,NA,86,30,25.14,1.53,249.18,0.06,NA
NOVIEMBRE,6,20,0.003,0.011,0.018,2.16,76,31,22.70,1.16,119.24,0.06,NA
NOVIEMBRE,6,21,0.009,0.011,0.015,2.24,93,27,21.04,1.30,79.08,0.06,NA
NOVIEMBRE,6,22,0.003,0.010,0.016,2.18,86,21,19.94,0.27,238.22,0.06,NA
NOVIEMBRE,6,23,0.003,0.010,0.015,2.21,76,21,18.20,0.35,285.97,0.06,NA
NOVIEMBRE,7,0,0.002,0.014,0.014,NA,57,20,17.22,0.42,233.93,0.06,NA
NOVIEMBRE,7,1,0.011,0.010,0.011,1.83,89,32,16.39,0.96,199.03,0.06,NA
NOVIEMBRE,7,2,0.008,0.008,0.009,1.49,65,17,15.21,0.87,103.36,0.06,NA
NOVIEMBRE,7,3,0.004,0.009,0.011,1.36,62,19,14.70,0.87,61.66,0.06,NA
NOVIEMBRE,7,4,0.009,0.009,0.009,1.24,47,19,15.08,0.60,251.02,0.06,NA
NOVIEMBRE,7,5,0.008,0.009,0.010,1.15,55,18,14.81,0.29,150.00,0.06,NA
NOVIEMBRE,7,6,0.002,0.011,0.012,1.26,47,25,14.24,0.48,204.04,0.07,NA
